candidate_id,rank,score,reasoning
CAND_0046526,71,0.685298,5.5 YOE ML Engineer with RAG/vector search experience.
CAND_0090584,72,0.68448,5.1 YOE ML Engineer with RAG/vector search experience; some concern on notice period (120 days) & low recent activity.
CAND_0039383,73,0.684176,7.1 YOE Applied ML Engineer building RAG systems at product companies.
CAND_0007052,74,0.684158,6.5 YOE ML Engineer with RAG/vector search experience; strong recent engagement.
CAND_0002120,75,0.68414,6.5 YOE ML Engineer with RAG/vector search experience.
CAND_0091745,76,0.683577,5.9 YOE Junior ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0024147,77,0.683084,5.9 YOE ML Engineer with RAG/vector search experience; strong recent engagement.
CAND_0068811,78,0.681904,8.0 YOE Applied ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0053527,79,0.680996,7.0 YOE Junior ML Engineer with RAG/vector search experience; strong recent engagement.
CAND_0032216,80,0.680003,6.1 YOE ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0012837,81,0.679719,6.4 YOE Junior ML Engineer with RAG/vector search experience; strong recent engagement.
CAND_0096142,82,0.679661,5.0 YOE Applied ML Engineer building RAG systems at product companies; strong recent engagement; some concern on notice period (120 days).
CAND_0024990,83,0.6788,5.2 YOE Junior ML Engineer with RAG/vector search experience; strong recent engagement.
CAND_0043228,84,0.677112,6.8 YOE Applied ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0018094,85,0.676465,5.2 YOE ML Engineer with RAG/vector search experience.
CAND_0037980,86,0.675972,9.0 YOE Senior Applied Scientist with RAG/vector search experience.
CAND_0062561,87,0.67583,5.9 YOE ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0057529,88,0.675639,6.9 YOE Junior ML Engineer; matches 'applied ML' profile in JD; some concern on low recent activity.
CAND_0085851,89,0.674596,7.0 YOE ML Engineer with RAG/vector search experience.
CAND_0044883,90,0.673557,6.3 YOE AI Engineer with RAG/vector search experience; strong recent engagement.
CAND_0074326,91,0.673322,6.4 YOE Junior ML Engineer; matches 'applied ML' profile in JD; strong recent engagement.
CAND_0091909,92,0.672258,6.9 YOE Machine Learning Engineer building RAG systems at product companies.
CAND_0066798,93,0.671175,5.1 YOE ML Engineer with RAG/vector search experience.
CAND_0048166,94,0.669509,5.2 YOE ML Engineer with RAG/vector search experience; can join in 30d.
CAND_0024620,95,0.668854,5.9 YOE AI Engineer with RAG/vector search experience.
CAND_0090155,96,0.66832,5.8 YOE ML Engineer; matches 'applied ML' profile in JD.
CAND_0040178,97,0.666104,5.0 YOE ML Engineer with RAG/vector search experience.
CAND_0074339,98,0.665192,5.3 YOE ML Engineer with RAG/vector search experience; some concern on notice period (120 days).
CAND_0031143,99,0.664598,5.5 YOE ML Engineer; matches 'applied ML' profile in JD; strong recent engagement; some concern on notice period (120 days).
CAND_0093912,100,0.664479,5.3 YOE Senior Data Scientist with RAG/vector search experience; can join in 30d.
